,Unnamed: 0,Unnamed: 0.1,word,translation,info
0,0,0,terra,earth,f. noun
1,1,1,céu,heaven,m. noun
2,2,2,cima,up,adverb
3,3,3,lua,moon,f. noun
4,4,4,um,1,card. number
5,5,5,branco,white,adj.
6,6,6,ponto,point,m. noun
7,7,7,estrela,star,f. noun
8,8,8,sexta-feira,Friday,f. noun /day
9,9,9,garçom,waiter,m. noun
10,10,10,ficar de pé,to stand,verb
11,11,11,costas,back (body part),f. pl. noun
12,12,12,dor,pain,f. noun
13,13,13,contar,to tell,verb
14,14,14,cento e um,101,card. number
15,15,15,jovem,young,adj.
16,16,16,cachorro,dog,m. noun
17,17,17,parque,park,m. noun
18,18,18,pular,to jump,verb
19,19,19,primavera,spring,f. noun
20,20,20,março,March,m. noun/ month
21,21,21,vinte,20,card. number
22,22,22,raso,shallow water,adj.
23,23,23,rio,river,m. noun
24,24,24,gelo,ice,m. noun
25,25,25,derreter,to melt,verb
26,26,26,beijar,to kiss,verb
27,27,27,pescoço,neck,m. noun
28,28,28,tocar,to play music,verb
29,29,29,corpo,body,m. noun
30,30,30,sexo,sex,m. noun
31,31,31,casamento,marriage,m. noun
32,32,32,janeiro,January,m. noun
33,33,33,primeiro,first,ord. number
34,34,34,novo,new,adj.
35,35,35,esporte,sport,m. noun
36,36,36,exercício,exercise,m. noun
37,37,37,saudável,healthy,adj.
38,38,38,cinco,five,card. number
39,39,39,pé,foot,m. noun
40,40,40,baixo,low,adj.
41,41,41,mulher,woman,f. noun
42,42,42,vestir,to wear,verb
43,43,43,orelha,ear,f. noun
44,44,44,anel,ring,m. noun
45,45,45,apertado,tight,adj.
46,46,46,saia,skirt,f. noun
47,47,47,surdo,deaf,adj.
48,48,48,pais,parents,m. pl. noun
49,49,49,alto,high,adj.
50,50,50,telefone,telephone,m. noun
51,51,51,bebê,baby,m. noun
52,52,52,chorar,cry,verb
53,53,53,lágrima,tear,f. noun
54,54,54,escuro,dark,adj.
55,55,55,teatro,theater,m. noun
56,56,56,rei,king,m. noun
57,57,57,amar,to love,verb
58,58,58,mil e um,a thousand and one,card. number
59,59,59,noite,night,f. noun
60,60,60,inverno,winter,m. noun
61,61,61,segundo,second,ord. Number
62,62,62,fevereiro,February,m. noun/ month
63,63,63,andar,to walk,verb
64,64,64,frio,cold,adj.
65,65,65,norte,north,m. noun
66,66,66,cidade,city,f. noun
67,67,67,chuva,rain,f. noun
68,68,68,molhado,wet,adj.
69,69,69,cinza,grey,adj./f. noun
70,70,70,comprar,to buy,verb
71,71,71,presente,gift,m. noun
72,72,72,bicicleta,bicycle,f. noun
73,73,73,isso,that,pronoun
74,74,74,dinheiro,money,m. noun
75,75,75,roupa,clothing,f. noun
76,76,76,loja,store,f. noun
77,77,77,placa,board,f. noun
78,78,78,vender,to sell,verb
79,79,79,longo,long,adj.
80,80,80,solto,loose,adj.
81,81,81,calças,pants,f. pl. noun
82,82,82,bolso,handbag,m. noun
83,83,83,preço,price,m. noun
84,84,84,oitenta,80,card. number
85,85,85,setenta,70,card. number
86,86,86,um milhão,a million,card. number
87,87,87,ano,year,m. noun
88,88,88,antigo,old,adj.
89,89,89,duro,hard,adj.
90,90,90,pedra,stone,f. noun
91,91,91,montanha,mountain,f. noun
92,92,92,cair,To fall,verb
93,93,93,morto,dead,adj.
94,94,94,caminhão,truck,m. noun
95,95,95,pneu,tire,m. noun
96,96,96,chão,floor,m. noun
97,97,97,carregar,to load,verb
98,98,98,peso,weight,m. noun
99,99,99,zero,0,card. number
100,100,100,curvo,curve,f. noun
101,101,101,círculo,circle,m. noun
102,102,102,número,number,m. noun
103,103,103,junho,June,m. noun/ month
104,104,104,morno,warm,adj.
105,105,105,praia,beach,f. noun
106,106,106,areia,sand,f. noun
107,107,107,ilha,island,f. noun
108,108,108,paraíso,paradise,m. noun
109,109,109,porco,pig,m. noun
110,110,110,quatro,4,card. number
111,111,111,perna,leg,f. noun
112,112,112,sujo,dirrty,adj.
113,113,113,cavar,to dig,verb
114,114,114,terra,land,f. noun
115,115,115,comer,to eat,verb
116,116,116,milho,corn,m. noun
117,117,117,planta,plant,f. noun
118,118,118,família,family,f. noun
119,119,119,sentar,to sit,verb
120,120,120,vidro,glass,m. noun
121,121,121,fundo,bottom,m. noun
122,122,122,barco,boat,m. noun
123,123,123,câmera,camera,f. noun
124,124,124,fotografia,photography,f. noun
125,125,125,mar,sea,m. noun
126,126,126,artista,artist,m. noun/ f. noun
127,127,127,cobra,snake,m. noun
128,128,128,ferramenta,tool,f. noun
129,129,129,bonito,beautiful,adj.
130,130,130,argila,clay,f. noun
131,131,131,lâmpada,lamp,f. noun
132,132,132,trinta,30,card. number
133,133,133,centímetro,centimeter,m. noun
134,134,134,alto,high,adj.
135,135,135,barato,cheap,adj.
136,136,136,hotel,hotel,m. noun
137,137,137,sete,seven ,card. number
138,138,138,dia,day,m. noun
139,139,139,plástico,plastic,m. noun
140,140,140,cama,bed,f. noun
141,141,141,tribunal,court,m. noun
142,142,142,advogado,laywer,m. noun
143,143,143,quieto,quiet,adj.
144,144,144,voz,voice,f. noun
145,145,145,um bilião,one billion,card. number
146,146,146,dólar,dolar,m. noun
147,147,147,contrato,contract,m. noun
148,148,148,assinar,to sign,verb
149,149,149,final de tarde,afternoon,m. noun
150,150,150,onze,11,card. number
151,151,151,quinze,15,card. number
152,152,152,casa,house,f. noun
153,153,153,fechadura,lock,f. noun
154,154,154,dormir,To sleep,verb
155,155,155,coração,heart,m. noun
156,156,156,doença,disease,f. noun
157,157,157,médico,doctor,m. noun
158,158,158,empurrar,push,verb
159,159,159,agulha,needle,f. noun
160,160,160,remédio,medicin,m. noun
161,161,161,vivo,live,adj.
162,162,162,gato,cat,m. noun
163,163,163,seguir,To follow,verb
164,164,164,três,three,card. number
165,165,165,cego,blind,adj.
166,166,166,rato,rat,m. noun
167,167,167,papel,paper,m. noun
168,168,168,carta,letter,f. noun
169,169,169,banco,banc,m. noun
170,170,170,gerente,boss,m. noun/ f. noun
171,171,171,trabalho,work,m. noun
172,172,172,sim,yes,adverb
173,173,173,feliz,happy,adj.
174,174,174,homem,man,m. noun
175,175,175,vocês,you (plural),pronoun
176,176,176,oito,8,card. number
177,177,177,cadeira,chair,f. noun
178,178,178,restaurante,restaurant,m. noun
179,179,179,estreito,narrow,adj.
180,180,180,mesa,table,f. noun
181,181,181,jantar,dinner,m. noun
182,182,182,vinho,wine,m. noun
183,183,183,galinha,chicken,f. noun
184,184,184,sopa,soup,f. noun
185,185,185,colher,spoon,f. noun
186,186,186,trinta e um,31,card. number
187,187,187,data,date (calender),f. noun
188,188,188,dezembro,december,m. noun/ month
189,189,189,neve,snow,f. noun
190,190,190,sapatos,shoes,m. pl. noun
191,191,191,ir,to go,verb
192,192,192,floresta,forrest,f. noun
193,193,193,vento,wind,m. noun
194,194,194,agitar,to shake,verb
195,195,195,fino,thin,adj.
196,196,196,folha,leaf,f. noun
197,197,197,esposa,wive,f. noun
198,198,198,pequeno,small,adj.
199,199,199,diamante,diamant,m. noun
200,200,200,casamento,weding,m. noun
201,201,201,vestido,dress,m. noun
202,202,202,domingo,Sunday,m. noun/ day
203,203,203,jogar,to play,verb
204,204,204,arroz,rice,m. noun
205,205,205,outubro,october,m. noun/ month
206,206,206,quinta-feira,thursday,f. noun/ day
207,207,207,dois,two,card. number
